species,taxonomic_order,interbirth_interval,longevity,body_mass_g,female_body_mass_g,invasiveness,interdigitation
furipterus_horrens,Chiroptera,318.61,5768.69,3.15,4,Hemochorial,Labyrinthine
galago_moholi,Primates,200.61,6874.17,180,155,Epitheliochorial,Villous
galago_senegalensis,Primates,221.85,6874.17,192.2,199.25,Epitheliochorial,Villous
galea_musteloides,Rodentia,53.01,1277.5,337.88,NA,Hemochorial,Labyrinthine
gazella_cuvieri,Artiodactyla,273.81,6533.5,20348.83,NA,Epitheliochorial,Villous
gazella_dorcas,Artiodactyla,351.26,8650.5,47386.47,14100,Epitheliochorial,Villous
gazella_leptoceros,Artiodactyla,220.78,5329,24645.75,NA,Epitheliochorial,Villous
gazella_marica,Artiodactyla,349.57,7300,20200,NA,Epitheliochorial,Villous
gazella_spekei,Artiodactyla,206.36,5405.04,20000,NA,Epitheliochorial,Villous
gazella_subgutturosa,Artiodactyla,353.49,7300,37740.68,NA,Epitheliochorial,Villous
genetta_tigrina,Carnivora,303.95,7774.5,1760,NA,Endotheliochorial,Labyrinthine
geomys_bursarius,Rodentia,206.13,4380,186.85,NA,Hemochorial,Labyrinthine
giraffa_camelopardalis,Artiodactyla,613.75,14417.5,800000,NA,Epitheliochorial,Villous
glaucomys_sabrinus,Rodentia,271.39,5183,148,NA,Hemochorial,Labyrinthine
glaucomys_volans,Rodentia,125.29,6935,65.4,79.1,Hemochorial,Labyrinthine
glossophaga_soricina,Chiroptera,243.99,4015,10.25,10.56574924,Endotheliochorial,Labyrinthine
gorilla_gorilla,Primates,1412.93,20221,150000,89113.46154,Hemochorial,Villous
gulo_gulo,Carnivora,729.63,7117.5,12792.49,NA,Endotheliochorial,Labyrinthine
halichoerus_grypus,Carnivora,364.75,17035.46,197570,NA,Endotheliochorial,Labyrinthine
hapalemur_griseus,Primates,332.56,8504.5,1202.71,NA,Epitheliochorial,Villous
helarctos_malayanus,Carnivora,588.72,13103.5,46000,NA,Endotheliochorial,Labyrinthine
helogale_hirtula,Carnivora,191.18,3522.25,484.63,NA,Endotheliochorial,Labyrinthine
hemicentetes_semispinosus,Afrosoricida,184.01,1000.71,133,107.6,Hemochorial,Labyrinthine
hemigalus_derbyanus,Carnivora,241.93,6570,2375,NA,Endotheliochorial,Labyrinthine
hemitragus_jemlahicus,Artiodactyla,364.75,7957,35200,45000,Epitheliochorial,Villous
heterocephalus_glaber,Rodentia,81.04,10329.5,35,NA,Hemochorial,Labyrinthine
heterohyrax_brucei,Hyracoidea,364.75,5110,2000,NA,Hemochorial,Labyrinthine
hippopotamus_amphibius,Therapsida,629.34,22338,2640000,1349750,Epitheliochorial,Villous
hippotragus_equinus,Artiodactyla,323.78,9453.5,233500,NA,Epitheliochorial,Villous
hippotragus_niger,Artiodactyla,364.75,8121.25,225000,NA,Epitheliochorial,Villous
hyaena_hyaena,Carnivora,236.96,9125,35070.51,NA,Endotheliochorial,Labyrinthine
hydrictis_maculicollis,Carnivora,364.75,8358.5,4000,NA,Endotheliochorial,Labyrinthine
hydrochoerus_hydrochaeris,Rodentia,244.83,5511.5,51572.46,62000,Hemochorial,Labyrinthine
hydropotes_inermis,Artiodactyla,241.89,5079.58,12760.04,12220,Epitheliochorial,Villous
hydrurga_leptonyx,Carnivora,364.75,9490,375671.1,NA,Endotheliochorial,Labyrinthine
hylobates_agilis,Primates,1094.25,20805,5829.08,NA,Hemochorial,Villous
hylobates_lar,Primates,1038.62,20805,6194.31,5340,Hemochorial,Villous
hylobates_pileatus,Primates,1038.62,20805,5656.81,NA,Hemochorial,Villous
hystrix_africaeaustralis,Rodentia,376.74,8431.5,14936.02,NA,Hemochorial,Labyrinthine
hystrix_cristata,Rodentia,262.06,10411.63,19166.67,13800,Hemochorial,Labyrinthine
ictidomys_tridecemlineatus,Rodentia,318.76,2883.5,182,NA,Hemochorial,Labyrinthine
indri_indri,Primates,911.88,9231.94,8241.74,NA,Epitheliochorial,Villous
inia_geoffrensis,Artiodactyla,644.2,11424.5,98500,NA,Epitheliochorial,Trabecular
jaculus_jaculus,Rodentia,91.06,2664.5,57.4,NA,Hemochorial,Labyrinthine
kerodon_rupestris,Rodentia,86.09,4708.5,875.5,NA,Hemochorial,Labyrinthine
kobus_ellipsiprymnus,Artiodactyla,364.75,11080.79,175333,NA,Epitheliochorial,Villous
kobus_leche,Artiodactyla,369.27,9271,91722.52,NA,Epitheliochorial,Villous
kobus_megaceros,Artiodactyla,352.76,7701.5,87902.96,NA,Epitheliochorial,Villous
lagostomus_maximus,Rodentia,144.25,3942,6392,NA,Hemochorial,Labyrinthine
lama_guanicoe,Artiodactyla,547.38,22435.33,112500,NA,Epitheliochorial,Villous
lemmus_lemmus,Rodentia,23.48,1213.63,68.81,68.6,Hemochorial,Labyrinthine
lemur_catta,Artiodactyla,416.42,13614.5,2555,2678,Epitheliochorial,Villous
leontopithecus_chrysomelas,Primates,185.62,11534,582.66,NA,Hemochorial,Trabecular
leontopithecus_rosalia,Primates,185.62,11534,623.51,NA,Hemochorial,Trabecular
leopardus_geoffroyi,Carnivora,239.84,8471.04,4000,NA,Endotheliochorial,Labyrinthine
leopardus_pardalis,Carnivora,406.17,10293,10500,10466.92308,Endotheliochorial,Labyrinthine
leopardus_wiedii,Carnivora,239.38,8775.21,3600,2158.8,Endotheliochorial,Labyrinthine
leptailurus_serval,Carnivora,179.13,8395,11999.96,NA,Endotheliochorial,Labyrinthine
leptonychotes_weddellii,Carnivora,364.75,9125,410833.3,NA,Endotheliochorial,Labyrinthine
leptonycteris_nivalis,Chiroptera,330.98,3650,22.63,NA,Endotheliochorial,Labyrinthine
leptonycteris_yerbabuenae,Chiroptera,333.1,3686.5,24.26,NA,Endotheliochorial,Labyrinthine
lepus_americanus,Lagomorpha,36.98,2920,1565.61,1167.3,Hemochorial,Labyrinthine
limnogale_mergulus,Afrosoricida,331.19,2210.79,77.7,NA,Hemochorial,Labyrinthine
lissodelphis_borealis,Artiodactyla,730,15330,113000,NA,Epitheliochorial,Trabecular
litocranius_walleri,Artiodactyla,240.61,6314.5,41333.33,NA,Epitheliochorial,Villous
lobodon_carcinophaga,Carnivora,638.31,14235,238333.3,NA,Endotheliochorial,Labyrinthine
lontra_canadensis,Carnivora,364.75,9855,8087.42,NA,Endotheliochorial,Labyrinthine
lophocebus_aterrimus,Primates,676.61,13389.42,6768.75,NA,Hemochorial,Villous
loris_tardigradus,Primates,235.09,7044.5,243.71,224.25,Epitheliochorial,Villous
loxodonta_africana,Proboscidea,1735.31,29200,4565000,2727333.333,Endotheliochorial,Labyrinthine
lycaon_pictus,Carnivora,358.69,6205,24249.99,NA,Endotheliochorial,Labyrinthine
lynx_canadensis,Carnivora,364.75,9782,9682.82,NA,Endotheliochorial,Labyrinthine
lynx_lynx,Carnivora,364.75,9782,21150,NA,Endotheliochorial,Labyrinthine
lynx_rufus,Carnivora,364.75,11801.67,9400,NA,Endotheliochorial,Labyrinthine
macaca_fascicularis,Primates,414.44,14235,4569.32,NA,Hemochorial,Trabecular
macaca_fuscata,Primates,499.99,14052.5,8882.5,8671.66667,Hemochorial,Trabecular
macaca_mulatta,Primates,414.47,14600,6614,6526.11111,Hemochorial,Trabecular
macaca_nigra,Primates,539.73,12410,7662.2,NA,Hemochorial,Trabecular
macaca_radiata,Primates,364.75,10959.13,5132.25,NA,Hemochorial,Trabecular
macaca_silenus,Primates,506.35,14663.88,6570,NA,Hemochorial,Trabecular
macroscelides_proboscideus,Macroscelidea,78.18,3175.5,39.5,43.3,Hemochorial,Labyrinthine
madoqua_guentheri,Artiodactyla,211.87,6387.5,4550,NA,Epitheliochorial,Villous
madoqua_kirkii,Artiodactyla,213.1,6314.5,4833.4,NA,Epitheliochorial,Villous
mandrillus_sphinx,Primates,526.46,16910.45,23000,NA,Hemochorial,Trabecular
marmota_flaviventris,Rodentia,456.81,7738,3709.73,2572,Hemochorial,Labyrinthine
marmota_monax,Rodentia,591.94,5110,3413,NA,Hemochorial,Labyrinthine
martes_americana,Carnivora,364.75,6935,892,960,Endotheliochorial,Labyrinthine
martes_zibellina,Carnivora,229.12,8030,1066.7,NA,Endotheliochorial,Labyrinthine
mastomys_natalensis,Rodentia,31.85,1061.54,41.68,9.3,Hemochorial,Labyrinthine
mazama_americana,Artiodactyla,327.31,6241.5,23000,NA,Epitheliochorial,Villous
megaptera_novaeangliae,Artiodactyla,693.03,34675,30000000,NA,Epitheliochorial,Trabecular
melursus_ursinus,Carnivora,1094.25,14600,99999.99,NA,Hemochorial,Labyrinthine
meriones_shawi,Rodentia,31.23,1700.29,137.8,NA,Hemochorial,Labyrinthine
meriones_unguiculatus,Rodentia,45.97,2299.5,58.1,65.02,Hemochorial,Labyrinthine
mesocricetus_auratus,Rodentia,49.67,3650,105,76,Hemochorial,Labyrinthine
microcebus_murinus,Primates,218.85,6643,66.9,109,Epitheliochorial,Villous
microdipodops_megacephalus,Rodentia,111.27,1977.08,13.41,NA,Endotheliochorial,Labyrinthine
microtus_xanthognathus,Rodentia,34.87,1000.25,92.65,NA,Hemochorial,Labyrinthine
miopithecus_talapoin,Primates,730,11278.5,1362.5,NA,Hemochorial,Trabecular
mirounga_angustirostris,Carnivora,364.75,7406.46,914528.7,334720,Endotheliochorial,Labyrinthine
mirza_coquereli,Primates,364.75,6351,311.2,302,Epitheliochorial,Villous
mormoops_megalophylla,Chiroptera,352.59,2728.03,16.05,NA,Hemochorial,Labyrinthine
mungos_mungo,Carnivora,364.75,6351,1331.5,NA,Endotheliochorial,Labyrinthine
muntiacus_muntjak,Artiodactyla,240.84,6862,17611.59,15000,Epitheliochorial,Villous
muntiacus_reevesi,Artiodactyla,214.98,8468,13499.94,8900,Epitheliochorial,Villous
mus_musculus,Rodentia,29.98,2190,20.5,16.7,Hemochorial,Labyrinthine
mustela_putorius,Carnivora,196.12,5110,809,NA,Endotheliochorial,Labyrinthine
myocastor_coypus,Carnivora,130.66,4380,7150,6360,Hemochorial,Labyrinthine
myodes_glareolus,Rodentia,21.36,1794.58,20.8,NA,Hemochorial,Labyrinthine
myodes_rutilus,Rodentia,20.49,1085.32,25,NA,Hemochorial,Labyrinthine
myoprocta_pratti,Rodentia,126.6,5402,914,NA,Hemochorial,Villous
myotis_lucifugus,Chiroptera,364.75,12410,7.15,6.49,Hemochorial,Labyrinthine
myrmecophaga_tridactyla,Pilosa,476.09,11506.63,29531.83,32770,Hemochorial,Trabecular
