species,taxonomic_order,litter_mass,longevity,body_mass_g,female_body_mass_g,invasiveness,interdigitation,relative_litter_mass,relative_litter_mass_female
gazella_subgutturosa,Artiodactyla,3221.8115,7300,37740.68,NA,Epitheliochorial,Villous,0.08536707605692319,NA
nanger_granti,Artiodactyla,5215.17,7190.5,61232.23,NA,Epitheliochorial,Villous,0.08517034248140236,NA
eudorcas_thomsonii,Artiodactyla,2500,7300,23197.67,NA,Epitheliochorial,Villous,0.10776944408641041,NA
antilope_cervicapra,Artiodactyla,3386.14,8723.5,37500,NA,Epitheliochorial,Villous,0.09029706666666666,NA
antidorcas_marsupialis,Artiodactyla,3841.48,7300,33571.24,27850,Epitheliochorial,Villous,0.1144277065726497,0.13793464991023338
saiga_tatarica,Artiodactyla,5255.8068,4380,37992,NA,Epitheliochorial,Villous,0.13833982943777637,NA
madoqua_guentheri,Artiodactyla,684,6387.5,4550,NA,Epitheliochorial,Villous,0.15032967032967032,NA
madoqua_kirkii,Artiodactyla,625.82,6314.5,4833.4,NA,Epitheliochorial,Villous,0.12947821409359872,NA
raphicerus_campestris,Artiodactyla,916.51,5110,11333.33,NA,Epitheliochorial,Villous,0.08086855319663329,NA
kobus_leche,Artiodactyla,5100,9271,91722.52,NA,Epitheliochorial,Villous,0.05560248453705807,NA
kobus_ellipsiprymnus,Artiodactyla,12600,11080.79,175333,NA,Epitheliochorial,Villous,0.07186325449287927,NA
cephalophus_rufilatus,Artiodactyla,975.1,5548,12500,NA,Epitheliochorial,Villous,0.07800800000000001,NA
cephalophus_niger,Artiodactyla,1940,5402,18100,NA,Epitheliochorial,Villous,0.10718232044198896,NA
cephalophus_silvicultor,Artiodactyla,4400.72,8212.5,62006.6,NA,Epitheliochorial,Villous,0.07097179977615287,NA
cephalophus_jentinki,Artiodactyla,4581.46,7771.46,69244.92,NA,Epitheliochorial,Villous,0.06616312070257284,NA
cephalophus_dorsalis,Artiodactyla,1611.37,6387.5,11600,11600,Epitheliochorial,Villous,0.1389112068965517,0.1389112068965517
philantomba_monticola,Artiodactyla,709.41,5803.5,4896.05,NA,Epitheliochorial,Villous,0.14489435361158484,NA
oreotragus_oreotragus,Artiodactyla,1130,9453.5,13000,NA,Epitheliochorial,Villous,0.08692307692307692,NA
aepyceros_melampus,Artiodactyla,5238.4,9344,52500,40480,Epitheliochorial,Villous,0.09977904761904761,0.1294071146245059
syncerus_caffer,Artiodactyla,43030.558800000006,10877,646333,NA,Epitheliochorial,Villous,0.06657645331431322,NA
tragelaphus_eurycerus,Artiodactyla,19944.92,7993.5,270998.4,NA,Epitheliochorial,Villous,0.07359792530140398,NA
tragelaphus_spekii,Artiodactyla,4000,8249,87500,NA,Epitheliochorial,Villous,0.045714285714285714,NA
tragelaphus_scriptus,Artiodactyla,3027.79,5584.5,43250.39,NA,Epitheliochorial,Villous,0.070006073933668575,NA
tragelaphus_strepsiceros,Artiodactyla,15366.57,8577.5,206056.4,166300,Epitheliochorial,Villous,0.07457458249294853,0.09240270595309681
tragelaphus_angasii,Artiodactyla,5541.58,6752.5,100666.7,NA,Epitheliochorial,Villous,0.0550487897189438,NA
tragelaphus_imberbis,Artiodactyla,5891.21,7227,82500,NA,Epitheliochorial,Villous,0.07140860606060606,NA
boselaphus_tragocamelus,Artiodactyla,8812.5,7920.5,180000,NA,Epitheliochorial,Villous,0.04895833333333333,NA
cervus_nippon,Artiodactyla,4277.11,9599.5,52999.99,28640,Epitheliochorial,Villous,0.08070020390569885,0.14934043296089383
