species;order;common_name;invasivness;interdigitation;link_url;;;;;;;;;;;
Giraffa_tippelskirchi;Artiodactyla;Masai_giraffe;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Hemitragus_hylocrius;Artiodactyla;Nilgiri_tahr;Epitheliochorial;Villous;http://placentation.ucsd.edu/tahr.html;;;;;;;;;;;
Hemitragus_jemlahicus;Artiodactyla;Himalayan_tahr;Epitheliochorial;Villous;http://placentation.ucsd.edu/himal.html;;;;;;;;;;;
Hexaprotodon_liberiensis;Artiodactyla;pygmy_hippopotamus;Epitheliochorial;Villous;https://placentation.ucsd.edu/hippofs.htm;;;;;;;;;;;
Hippotragus_equinus;Artiodactyla;roan_antelope;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Hippotragus_niger;Artiodactyla;sable_antelope;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Hydropotes_inermis;Artiodactyla;water_deer;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Inia_geoffrensis;Artiodactyla;Amazon_river dolphin;Epitheliochorial;Trabecular;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Kobus_defassa;Artiodactyla;waterbuck;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Kobus_ellipsiprymnus;Artiodactyla;Ellipsen_waterbuck;Epitheliochorial;Villous;http://placentation.ucsd.edu/buck.html;;;;;;;;;;;
Kobus_leche;Artiodactyla;lechwe;Epitheliochorial;Villous;http://placentation.ucsd.edu/buck.html;;;;;;;;;;;
Kobus_megaceros;Artiodactyla;Nile_lechwe;Epitheliochorial;Villous;http://placentation.ucsd.edu/buck.html;;;;;;;;;;;
Lama_glama;Artiodactyla;llama;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Lama_guanicoe;Artiodactyla;guanaco;Epitheliochorial;Villous;http://placentation.ucsd.edu/camfs.htm;;;;;;;;;;;
Lama_pacos;Artiodactyla;alpaca;Epitheliochorial;Villous;https://www.ncbi.nlm.nih.gov/pubmed/12802689;;;;;;;;;;;
Lemur_catta;Artiodactyla;ring-tailed_lemur;Epitheliochorial;Villous;http://placentation.ucsd.edu/ringlemur.html;;;;;;;;;;;
Lissodelphis_borealis;Artiodactyla;northern_right whale dolphin;Epitheliochorial;Trabecular;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Litocranius_walleri;Artiodactyla;gerenuk;Epitheliochorial;Villous;http://placentation.ucsd.edu/gerenukfs.htm;;;;;;;;;;;
Madoqua_guentheri;Artiodactyla;Gnther's_dik-dik;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Madoqua_kirkii;Artiodactyla;Kirk's_dik-dik;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Mazama_americana;Artiodactyla;red_brocket;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Megaptera_novaeangliae;Artiodactyla;humpback_whale;Epitheliochorial;Trabecular;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Muntiacus_muntjak;Artiodactyla;Indian_muntjac;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Muntiacus_reevesi;Artiodactyla;Reeves's_muntjac;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Naemorhedus_crispus;Artiodactyla;Japanese_serow;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Naemorhedus_goral;Artiodactyla;Himalayan_goral;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Naemorhedus_griseus;Artiodactyla;Chinese_goral;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Nanger_dama;Artiodactyla;dama_gazelle;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Nanger_granti;Artiodactyla;Grant's_gazelle;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Neotragus_moschatus;Artiodactyla;Suni;Hemochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Neotragus_pygmaeus;Artiodactyla;royal_antelope;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Odocoileus_hemionus;Artiodactyla;mule_deer;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Odocoileus_virginianus;Artiodactyla;white-tailed_deer;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Okapia_johnstoni;Artiodactyla;okapi;Epitheliochorial;Villous;http://placentation.ucsd.edu/okapi.htm;;;;;;;;;;;
Oreamnos_americanus;Artiodactyla;mountain_goat;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Oreotragus_oreotragus;Artiodactyla;klipspringer;Epitheliochorial;Villous;http://placentation.ucsd.edu/klipspringer.htm;;;;;;;;;;;
Oryx_dammah;Artiodactyla;scimitar_oryx;Epitheliochorial;Villous;http://placentation.ucsd.edu/scimitarfs.htm;;;;;;;;;;;
Oryx_gazella;Artiodactyla;South_African oryx;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Oryx_leucoryx;Artiodactyla;Arabian_oryx;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Ovibos_moschatus;Artiodactyla;muskox;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Ovis_aries;Artiodactyla;Sheep;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Ovis_canadensis;Artiodactyla;bighorn_sheep;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Ovis_dalli;Artiodactyla;Dall's_sheep;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Ovis_vignei;Artiodactyla;urial;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Pecari_tajacu;Artiodactyla;collared_peccary;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Phacochoerus_aethiopicus;Artiodactyla;desert_warthog;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Phacochoerus_africanus;Artiodactyla;common_warthog;Epitheliochorial;Trabecular;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Philantomba_monticola;Artiodactyla;blue_duiker;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Platanista_gangetica;Artiodactyla;South_Asian river dolphin;Epitheliochorial;Trabecular;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Platanista_minor;Artiodactyla;South_Asian river dolphin;Epitheliochorial;Trabecular;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
