species,taxonomic_order,gestation_length,longevity,body_mass_g,female_body_mass_g,invasiveness,interdigitation
tragulus_napu,Artiodactyla,153.62,6095.5,3850,NA,Epitheliochorial,Villous
cephalorhynchus_commersonii,Artiodactyla,365.23,9417,68700,NA,Epitheliochorial,Villous
lissodelphis_borealis,Artiodactyla,365.28,15330,113000,NA,Epitheliochorial,Villous
orcinus_orca,Cetacea,454.72,36500,4300000,5443200,Epitheliochorial,Villous
delphinus_delphis,Cetacea,296.89,10594.12,77818.35,NA,Epitheliochorial,Villous
stenella_coeruleoalba,Cetacea,368.28,20987.5,122950,60500,Epitheliochorial,Villous
tursiops_truncatus,Cetacea,365,19345,230000,145833,Epitheliochorial,Villous
sotalia_fluviatilis,Cetacea,330.25,12775,46666.68,NA,Epitheliochorial,Villous
phocoena_phocoena,Cetacea,307.01,7446,52730.93,62000,Epitheliochorial,Villous
delphinapterus_leucas,Cetacea,409.06,14600,1380000,NA,Epitheliochorial,Villous
inia_geoffrensis,Artiodactyla,299.19,11424.5,98500,NA,Epitheliochorial,Villous
tasmacetus_shepherdi,Cetacea,370.68,20382.01,5600000,NA,Epitheliochorial,Villous
platanista_gangetica,Artiodactyla,313.88,10220,85250,NA,Epitheliochorial,Villous
megaptera_novaeangliae,Artiodactyla,348.84,34675,30000000,NA,Epitheliochorial,Villous
hippopotamus_amphibius,Therapsida,234.69,22338,2640000,1349750,Epitheliochorial,Villous
sus_scrofa,Artiodactyla,115.2,9855,135000,50600,Epitheliochorial,Villous
sus_cebifrons,Artiodactyla,121.7,6205,102750,NA,Epitheliochorial,Villous
phacochoerus_aethiopicus,Artiodactyla,166.86,6862,73303.76,NA,Epitheliochorial,Villous
phacochoerus_africanus,Artiodactyla,168.25,7628.5,91249.99,NA,Epitheliochorial,Villous
potamochoerus_porcus,Artiodactyla,120,8227.71,71000,NA,Epitheliochorial,Villous
babyrousa_celebensis,Artiodactyla,156.5,8760,92950.09,NA,Epitheliochorial,Villous
babyrousa_babyrussa,Artiodactyla,156.5,8760,92950.09,NA,Epitheliochorial,Villous
pecari_tajacu,Artiodactyla,143.36,11497.5,20500,17956.25,Epitheliochorial,Villous
catagonus_wagneri,Artiodactyla,152.08,5344.21,35433.2,NA,Epitheliochorial,Villous
lama_guanicoe,Artiodactyla,337.55,22435.33,112500,NA,Epitheliochorial,Villous
vicugna_vicugna,Artiodactyla,345.45,22435.33,50000,37500,Epitheliochorial,Villous
camelus_dromedarius,Artiodactyla,395.76,14600,434000,NA,Epitheliochorial,Villous
epomophorus_wahlbergi,Chiroptera,156.43,3686.5,86.8,NA,Hemochorial,Labyrinthine
rousettus_aegyptiacus,Chiroptera,116,8358.5,134,NA,Hemochorial,Labyrinthine
rousettus_leschenaultii,Chiroptera,118.33,5110,96.57,NA,Hemochorial,Labyrinthine
cynopterus_sphinx,Chiroptera,120,3686.5,37.4,47.84,Hemochorial,Labyrinthine
pteropus_hypomelanus,Chiroptera,156.43,7409.5,442.81,NA,Hemochorial,Labyrinthine
pteropus_poliocephalus,Chiroptera,187.72,8614,675,675,Hemochorial,Labyrinthine
pteropus_giganteus,Chiroptera,155.8,14907.21,824.85,900,Hemochorial,Labyrinthine
pteropus_rodricensis,Chiroptera,198,10950,303.09,NA,Hemochorial,Labyrinthine
acerodon_jubatus,Chiroptera,166.65,7320.34,1087.04,NA,Hemochorial,Labyrinthine
rhinolophus_rouxii,Chiroptera,123.54,1825,12.25,NA,Endotheliochorial,Labyrinthine
rhinopoma_hardwickii,Chiroptera,98.28,4935.28,12,NA,Endotheliochorial,Labyrinthine
myotis_lucifugus,Chiroptera,57.4,12410,7.15,6.49,Hemochorial,Labyrinthine
tadarida_brasiliensis,Chiroptera,84,5475,12.5,NA,Endotheliochorial,Labyrinthine
chaerephon_plicatus,Chiroptera,88.64,2467,21.83,17.2,Hemochorial,Labyrinthine
natalus_tumidirostris,Chiroptera,121.11,4590.07,5.85,NA,Endotheliochorial,Labyrinthine
artibeus_lituratus,Chiroptera,106.54,7014.08,46.1,77.64533956,Endotheliochorial,Labyrinthine
