species,taxonomic_order,gestation_length,longevity,body_mass_g,female_body_mass_g,invasiveness,interdigitation
scalopus_aquaticus,Eulipotyphla,41.54,2263,74.6,87.2,Hemochorial,Labyrinthine
solenodon_paradoxus,Eulipotyphla,64.8,4416.5,900,NA,Hemochorial,Labyrinthine
tupaia_picta,Scandentia,48.19,2310.43,168.05,NA,Endotheliochorial,Labyrinthine
tupaia_montana,Scandentia,49.61,577.92,225.53,NA,Endotheliochorial,Labyrinthine
tupaia_tana,Scandentia,54.62,5110,197.8,215,Hemochorial,Labyrinthine
tupaia_minor,Scandentia,50,4453,58.6,NA,Endotheliochorial,Labyrinthine
tupaia_palawanensis,Scandentia,47.95,2570.93,168.05,NA,Endotheliochorial,Labyrinthine
tupaia_javanica,Scandentia,46.35,2438.96,105,NA,Endotheliochorial,Labyrinthine
anathana_ellioti,Scandentia,46.31,2851.09,160,NA,Endotheliochorial,Labyrinthine
tupaia_gracilis,Scandentia,47.69,1274.46,111.95,NA,Endotheliochorial,Labyrinthine
tupaia_longipes,Scandentia,46,4532.08,163.53,NA,Endotheliochorial,Labyrinthine
tupaia_belangeri,Scandentia,46,4532.08,200,NA,Endotheliochorial,Labyrinthine
tupaia_glis,Scandentia,46,4532.08,159,176.5,Endotheliochorial,Labyrinthine
dendrogale_murina,Scandentia,49.74,4380,49.99,NA,Endotheliochorial,Labyrinthine
lepus_americanus,Lagomorpha,36.85,2920,1565.61,1167.3,Hemochorial,Labyrinthine
sylvilagus_aquaticus,Lagomorpha,37.8,3250.1,2127.01,NA,Hemochorial,Labyrinthine
sylvilagus_audubonii,Lagomorpha,28.61,2853.08,791.29,NA,Hemochorial,Labyrinthine
sylvilagus_transitionalis,Lagomorpha,28,3577,1150,1077.99,Hemochorial,Labyrinthine
sylvilagus_floridanus,Lagomorpha,28.7,3577,1178.6,1248.6,Hemochorial,Labyrinthine
brachylagus_idahoensis,Lagomorpha,33.04,1578.63,431.19,NA,Hemochorial,Labyrinthine
oryctolagus_cuniculus,Lagomorpha,30.6,6570,1900,1827,Hemochorial,Labyrinthine
ochotona_princeps,Lagomorpha,30.44,2670.58,140.2,168.8,Hemochorial,Labyrinthine
urocitellus_richardsonii,Rodentia,22.8,2190,273.54,367,Hemochorial,Labyrinthine
urocitellus_columbianus,Rodentia,24.2,1548.21,468.64,NA,Hemochorial,Labyrinthine
cynomys_ludovicianus,Rodentia,35.42,6570,1125,NA,Hemochorial,Labyrinthine
ictidomys_tridecemlineatus,Rodentia,27.75,2883.5,182,NA,Hemochorial,Labyrinthine
spermophilus_citellus,Rodentia,27.41,2445.5,228.5,NA,Hemochorial,Labyrinthine
marmota_flaviventris,Rodentia,30.2,7738,3709.73,2572,Hemochorial,Labyrinthine
marmota_monax,Rodentia,32.35,5110,3413,NA,Hemochorial,Labyrinthine
otospermophilus_beecheyi,Rodentia,28.5,1974.04,575.3,NA,Hemochorial,Labyrinthine
callospermophilus_lateralis,Rodentia,30.44,3796,227.3,NA,Hemochorial,Labyrinthine
ammospermophilus_leucurus,Rodentia,29.19,4088,99.37,88.8,Hemochorial,Labyrinthine
ammospermophilus_harrisii,Rodentia,29.36,3869,126,NA,Hemochorial,Labyrinthine
tamias_striatus,Rodentia,31.25,3467.5,92.6,NA,Hemochorial,Labyrinthine
paraxerus_cepapi,Rodentia,56.87,3491.83,222.85,NA,Hemochorial,Labyrinthine
xerus_inauris,Rodentia,47.29,4745,557.3,550,Hemochorial,Labyrinthine
glaucomys_volans,Rodentia,40,6935,65.4,79.1,Hemochorial,Labyrinthine
glaucomys_sabrinus,Rodentia,40,5183,148,NA,Hemochorial,Labyrinthine
sciurus_carolinensis,Rodentia,44,8760,540.33,413,Hemochorial,Labyrinthine
sciurus_niger,Rodentia,44.34,5840,803.7,NA,Hemochorial,Labyrinthine
sciurus_vulgaris,Rodentia,38,5402,328.88,325,Hemochorial,Labyrinthine
tamiasciurus_hudsonicus,Rodentia,37,4380,210.8,219.4,Hemochorial,Labyrinthine
callosciurus_prevostii,Rodentia,47.79,7701.5,400,NA,Hemochorial,Villous
funambulus_pennantii,Rodentia,40.48,1852.38,125.07,NA,Hemochorial,Labyrinthine
ratufa_affinis,Rodentia,55.79,3522.25,1155.82,NA,Hemochorial,Labyrinthine
aplodontia_rufa,Rodentia,29.91,3650,706.8,NA,Hemochorial,Labyrinthine
myocastor_coypus,Carnivora,131.86,4380,7150,6360,Endotheliochorial,Labyrinthine
capromys_pilorides,Rodentia,125,5040.04,4683.3,NA,Hemochorial,Labyrinthine
octodon_degus,Rodentia,90.09,5110,204.84,NA,Hemochorial,Labyrinthine
chinchilla_lanigera,Rodentia,112.47,7300,485,800,Hemochorial,Labyrinthine
lagostomus_maximus,Rodentia,155.73,3942,6392,NA,Hemochorial,Labyrinthine
dinomys_branickii,Rodentia,253,4745,12500,5300,Hemochorial,Labyrinthine
coendou_mexicanus,Rodentia,137.09,6095.5,2000,NA,Hemochorial,Labyrinthine
coendou_prehensilis,Rodentia,203,9709,3900,NA,Hemochorial,Labyrinthine
erethizon_dorsatum,Rodentia,210,8541,8009.73,6818.44444,Hemochorial,Labyrinthine
cavia_fulgida,Rodentia,73.39,2401.99,282.5,NA,Hemochorial,Labyrinthine
cavia_tschudii,Rodentia,63,3650,580.94,NA,Hemochorial,Labyrinthine
kerodon_rupestris,Rodentia,75.89,4708.5,875.5,NA,Hemochorial,Labyrinthine
hydrochoerus_hydrochaeris,Rodentia,150.73,5511.5,51572.46,62000,Hemochorial,Labyrinthine
dolichotis_patagonum,Rodentia,91,5256,12500,NA,Hemochorial,Labyrinthine
galea_musteloides,Rodentia,54,1277.5,337.88,NA,Hemochorial,Labyrinthine
dasyprocta_leporina,Rodentia,106.39,5803.5,2893.75,3830,Hemochorial,Labyrinthine
dasyprocta_punctata,Rodentia,109.83,5037,2229.56,NA,Hemochorial,Labyrinthine
myoprocta_pratti,Rodentia,99.33,5402,914,NA,Hemochorial,Villous
cuniculus_paca,Rodentia,116,6132,9000,NA,Hemochorial,Labyrinthine
fukomys_damarensis,Rodentia,92.83,5657.5,134.65,NA,Hemochorial,Villous
bathyergus_janetta,Rodentia,68.41,547.5,627.5,NA,Hemochorial,Labyrinthine
heterocephalus_glaber,Rodentia,70,10329.5,35,NA,Hemochorial,Labyrinthine
petromus_typicus,Rodentia,86.11,2579.33,212,NA,Hemochorial,Labyrinthine
hystrix_cristata,Rodentia,71.05,10411.63,19166.67,13800,Hemochorial,Labyrinthine
hystrix_africaeaustralis,Rodentia,93.49,8431.5,14936.02,NA,Hemochorial,Labyrinthine
atherurus_africanus,Rodentia,106.53,8364.58,2875.65,NA,Hemochorial,Labyrinthine
ctenodactylus_gundi,Rodentia,74,2117,288.8,NA,Hemochorial,Labyrinthine
peromyscus_polionotus,Rodentia,24,2007.5,14,NA,Hemochorial,Labyrinthine
peromyscus_maniculatus,Rodentia,26,3041.67,20.5,19.57,Hemochorial,Labyrinthine
peromyscus_leucopus,Rodentia,25.26,2920,22.3,17.675,Hemochorial,Labyrinthine
peromyscus_eremicus,Rodentia,26,2701,21.75,NA,Hemochorial,Labyrinthine
neotoma_albigula,Rodentia,36.22,3467.5,190.5,NA,Hemochorial,Labyrinthine
neotoma_floridana,Rodentia,35.53,3467.5,208.18,NA,Hemochorial,Labyrinthine
neotoma_lepida,Rodentia,33,3832.5,113.4,NA,Hemochorial,Labyrinthine
neotoma_fuscipes,Rodentia,32.13,304.17,213.26,NA,Hemochorial,Labyrinthine
microtus_xanthognathus,Rodentia,23.44,1000.25,92.65,NA,Hemochorial,Labyrinthine
myodes_rutilus,Rodentia,23.71,1085.32,25,NA,Hemochorial,Labyrinthine
myodes_glareolus,Rodentia,20,1794.58,20.8,NA,Hemochorial,Labyrinthine
ondatra_zibethicus,Rodentia,27.78,3650,997.96,NA,Hemochorial,Labyrinthine
dicrostonyx_groenlandicus,Rodentia,20.84,1204.5,58.44,NA,Hemochorial,Labyrinthine
lemmus_lemmus,Rodentia,20.11,1213.63,68.81,68.6,Hemochorial,Labyrinthine
cricetulus_barabensis,Rodentia,20.55,1934.5,22.85,NA,Hemochorial,Labyrinthine
cricetulus_longicaudatus,Rodentia,22.12,60.83,22.1,NA,Hemochorial,Labyrinthine
mesocricetus_auratus,Rodentia,16,3650,105,76,Hemochorial,Labyrinthine
phodopus_sungorus,Rodentia,19.89,1426.54,30.87,NA,Hemochorial,Labyrinthine
phodopus_campbelli,Rodentia,20,1426.54,28.75,NA,Hemochorial,Labyrinthine
cricetomys_gambianus,Rodentia,34,3066,1510.7,NA,Hemochorial,Labyrinthine
acomys_cahirinus,Rodentia,38,2731.42,45.2,32,Hemochorial,Labyrinthine
mastomys_natalensis,Rodentia,23.54,1061.54,41.68,9.3,Hemochorial,Labyrinthine
mus_musculus,Rodentia,19.6,2190,20.5,16.7,Hemochorial,Labyrinthine
bandicota_indica,Rodentia,22,1533,511,503,Hemochorial,Labyrinthine
rattus_norvegicus,Rodentia,21.61,1825,280,310.51,Hemochorial,Labyrinthine
crateromys_heaneyi,Rodentia,36.66,3218.08,1000,NA,Hemochorial,Labyrinthine
sekeetamys_calurus,Rodentia,29.8,2664.5,60.25,NA,Hemochorial,Labyrinthine
meriones_shawi,Rodentia,25.49,1700.29,137.8,NA,Hemochorial,Labyrinthine
meriones_unguiculatus,Rodentia,25.09,2299.5,58.1,65.02,Hemochorial,Labyrinthine
calomys_callosus,Rodentia,22.01,416.83,48.6,NA,Hemochorial,Labyrinthine
jaculus_jaculus,Rodentia,38,2664.5,57.4,NA,Hemochorial,Labyrinthine
geomys_bursarius,Rodentia,26.78,4380,186.85,NA,Hemochorial,Labyrinthine
thomomys_bottae,Rodentia,23.87,2226.5,103.5,85,Hemochorial,Labyrinthine
chaetodipus_fallax,Rodentia,25,3041.67,18.95,NA,Hemochorial,Labyrinthine
perognathus_parvus,Rodentia,24,2117,20.1,NA,Hemochorial,Labyrinthine
dipodomys_merriami,Rodentia,27.85,3540.5,37.81,32.6,Endotheliochorial,Labyrinthine
dipodomys_panamintinus,Rodentia,30.13,1974.04,56.58,NA,Endotheliochorial,Labyrinthine
dipodomys_deserti,Rodentia,30.5,3285,106.75,NA,Hemochorial,Labyrinthine
dipodomys_ordii,Rodentia,29.91,3613.5,49.6,NA,Endotheliochorial,Labyrinthine
microdipodops_megacephalus,Rodentia,25.95,1977.08,13.41,NA,Endotheliochorial,Labyrinthine
castor_canadensis,Rodentia,114.44,8541,19928.33,15010,Hemochorial,Labyrinthine
pedetes_capensis,Rodentia,78.02,7315.21,2774.63,NA,Hemochorial,Labyrinthine
cercopithecus_mitis,Primates,136.96,13797,6116.5,3929,Hemochorial,Trabecular
cercopithecus_cephus,Primates,172,13140,3399.94,NA,Hemochorial,Trabecular
erythrocebus_patas,Primates,167.2,10329.5,7660.5,NA,Hemochorial,Trabecular
cercopithecus_mona,Primates,172.73,11202.46,4240.09,NA,Hemochorial,Trabecular
cercopithecus_neglectus,Primates,176,11242,5701,NA,Hemochorial,Trabecular
cercopithecus_diana,Primates,168.99,13614.5,4550,NA,Hemochorial,Trabecular
chlorocebus_aethiops,Primates,167.99,16790,5104.25,2740,Hemochorial,Trabecular
chlorocebus_pygerythrus,Primates,167.99,16790,5104.25,NA,Hemochorial,Trabecular
chlorocebus_sabaeus,Primates,167.99,16790,5104.25,NA,Hemochorial,Trabecular
cercopithecus_hamlyni,Primates,170.74,10439,4531.25,3361,Hemochorial,Trabecular
miopithecus_talapoin,Primates,164.38,11278.5,1362.5,NA,Hemochorial,Trabecular
allenopithecus_nigroviridis,Primates,165.59,10019.25,4690,NA,Hemochorial,Labyrinthine
macaca_nigra,Primates,175.96,12410,7662.2,NA,Hemochorial,Trabecular
macaca_fuscata,Primates,174,14052.5,8882.5,8671.66667,Hemochorial,Trabecular
macaca_mulatta,Primates,165,14600,6614,6526.11111,Hemochorial,Trabecular
macaca_fascicularis,Primates,165,14235,4569.32,NA,Hemochorial,Trabecular
macaca_radiata,Primates,161.56,10959.13,5132.25,NA,Hemochorial,Trabecular
macaca_silenus,Primates,176,14663.88,6570,NA,Hemochorial,Trabecular
papio_papio,Primates,179.28,16425,18000,NA,Hemochorial,Trabecular
papio_hamadryas,Primates,179.28,16425,18000,9900,Hemochorial,Villous
papio_anubis,Primates,178.96,16425,17728.56,11700,Hemochorial,Trabecular
lophocebus_aterrimus,Primates,181.7,13389.42,6768.75,NA,Hemochorial,Villous
theropithecus_gelada,Primates,172.42,13140,15964.11,NA,Hemochorial,Trabecular
cercocebus_agilis,Primates,169.86,16790,7775,NA,Hemochorial,Trabecular
cercocebus_chrysogaster,Primates,169.86,16790,7775,NA,Hemochorial,Trabecular
mandrillus_sphinx,Primates,173.99,16910.45,23000,NA,Hemochorial,Trabecular
cercocebus_torquatus,Primates,167.99,16790,8789,6200,Hemochorial,Trabecular
trachypithecus_germaini,Primates,149.75,12373.5,7071.5,NA,Hemochorial,Villous
trachypithecus_cristatus,Primates,149.75,12373.5,7071.5,NA,Hemochorial,Villous
trachypithecus_obscurus,Primates,146.63,12373.5,7163.94,NA,Hemochorial,Villous
trachypithecus_delacouri,Primates,165.24,9599.5,7325,NA,Hemochorial,Villous
trachypithecus_francoisi,Primates,168.2,9599.5,7604.75,NA,Hemochorial,Villous
nasalis_larvatus,Primates,167.16,9161.5,13441.58,NA,Hemochorial,Trabecular
pygathrix_nemaeus,Primates,182.88,9775.92,9875,NA,Hemochorial,Trabecular
semnopithecus_entellus,Primates,192,10685.38,12679.29,NA,Hemochorial,Trabecular
trachypithecus_vetulus,Primates,211,9526.5,7081.8,NA,Hemochorial,Villous
trachypithecus_auratus,Primates,169.87,11351.5,9719.6,NA,Hemochorial,Villous
colobus_guereza,Primates,180,12775,9058.41,NA,Hemochorial,Trabecular
colobus_angolensis,Primates,190.53,12884.5,8937.5,7770,Hemochorial,Trabecular
hylobates_agilis,Primates,216.24,20805,5829.08,NA,Hemochorial,Villous
hylobates_lar,Primates,216.24,20805,6194.31,5340,Hemochorial,Villous
hylobates_pileatus,Primates,216.24,20805,5656.81,NA,Hemochorial,Villous
symphalangus_syndactylus,Primates,231,15695,10869.5,NA,Hemochorial,Villous
nomascus_gabriellae,Primates,207.59,16826.5,6621.09,NA,Hemochorial,Villous
pan_troglodytes,Primates,229,27010,44983.5,33400,Hemochorial,Villous
pan_paniscus,Primates,235.32,20075,35119.95,31940,Hemochorial,Villous
gorilla_gorilla,Primates,257,20221,150000,89113.46154,Hemochorial,Villous
pongo_pygmaeus,Primates,259.42,21900,58941.64,37797.55556,Hemochorial,Villous
pongo_abelii,Primates,259.42,21900,53408.29,NA,Hemochorial,Villous
saguinus_bicolor,Primates,160,6935,495,NA,Hemochorial,Trabecular
saguinus_midas,Primates,132.62,7665,547.18,NA,Hemochorial,Trabecular
saguinus_geoffroyi,Primates,172.12,9563,453.77,502,Hemochorial,Trabecular
saguinus_oedipus,Primates,177.87,9563,445.5,473,Hemochorial,Trabecular
saguinus_imperator,Primates,145,8650.5,482.15,NA,Hemochorial,Trabecular
leontopithecus_chrysomelas,Primates,132.4,11534,582.66,NA,Hemochorial,Trabecular
leontopithecus_rosalia,Primates,132.4,11534,623.51,NA,Hemochorial,Trabecular
callithrix_penicillata,Primates,144,8318.96,307,357.8571429,Hemochorial,Trabecular
callithrix_jacchus,Primates,144,8318.96,255.2,324,Hemochorial,Trabecular
callithrix_kuhlii,Primates,144,8318.96,307,NA,Hemochorial,Trabecular
callithrix_geoffroyi,Primates,144,8318.96,299.61,274.5,Hemochorial,Trabecular
callimico_goeldii,Primates,153.5,8103,556.5,NA,Hemochorial,Trabecular
cebus_albifrons,Primates,158,16060,2488.59,2130,Hemochorial,Trabecular
cebus_capucinus,Primates,162,20075,2655,2783.5,Hemochorial,Trabecular
saimiri_boliviensis,Primates,162.55,11059.5,799.73,NA,Hemochorial,Trabecular
aotus_trivirgatus,Primates,142,10986.5,872.98,NA,Hemochorial,Villous
ateles_paniscus,Primates,228.18,16790,7887.5,NA,Hemochorial,Trabecular
ateles_fusciceps,Primates,227,17520,7267.5,NA,Hemochorial,Trabecular
ateles_geoffroyi,Primates,229.19,17520,7267.5,7653,Hemochorial,Trabecular
alouatta_palliata,Primates,186,9125,5659.14,4855,Hemochorial,Villous
alouatta_seniculus,Primates,190,9125,6398.31,4030,Hemochorial,Trabecular
alouatta_caraya,Primates,187,11826,5462.5,4330,Hemochorial,Villous
cacajao_calvus,Primates,182,13781.79,3421.04,NA,Hemochorial,Villous
pithecia_pithecia,Primates,159.57,13206.92,1480,NA,Hemochorial,Villous
microcebus_murinus,Primates,60.34,6643,66.9,109,Epitheliochorial,Villous
mirza_coquereli,Primates,89,6351,311.2,302,Epitheliochorial,Villous
cheirogaleus_medius,Primates,63.77,8471.04,294.19,282,Epitheliochorial,Villous
eulemur_albifrons,Primates,124.68,14235,2426.29,2281,Epitheliochorial,Villous
eulemur_sanfordi,Primates,119.42,13505,2406.52,2147,Epitheliochorial,Villous
eulemur_rufus,Primates,119.42,13505,2406.81,2456,Epitheliochorial,Villous
eulemur_collaris,Primates,119.42,13505,2419,2495,Epitheliochorial,Villous
eulemur_mongoz,Primates,128.5,13213,1915.57,1658,Epitheliochorial,Villous
eulemur_rubriventer,Primates,130,7497.71,1765.33,2139,Epitheliochorial,Villous
eulemur_coronatus,Primates,125.4,10950,1699.85,NA,Epitheliochorial,Villous
hapalemur_griseus,Primates,141.24,8504.5,1202.71,NA,Epitheliochorial,Villous
lemur_catta,Artiodactyla,134.84,13614.5,2555,2678,Epitheliochorial,Villous
varecia_rubra,Primates,100.33,13206.92,3670,3473,Epitheliochorial,Villous
propithecus_verreauxi,Primates,148,11132.5,3588.26,3696,Epitheliochorial,Villous
propithecus_tattersalli,Primates,147.93,7467.29,3545,3167,Hemochorial,Villous
propithecus_coquereli,Primates,145.53,11132.5,3622.7,3757,Epitheliochorial,Villous
propithecus_diadema,Primates,166.28,4036.29,6414.5,NA,Hemochorial,Villous
indri_indri,Primates,142.06,9231.94,8241.74,NA,Epitheliochorial,Villous
daubentonia_madagascariensis,Primates,167,8869.5,2610.33,2573,Epitheliochorial,Villous
galago_senegalensis,Primates,126.49,6874.17,192.2,199.25,Epitheliochorial,Villous
galago_moholi,Primates,126,6874.17,180,155,Epitheliochorial,Villous
otolemur_garnettii,Primates,128.74,6874.17,1300,734,Epitheliochorial,Villous
nycticebus_coucang,Primates,189.55,9672.5,953.3,1195,Epitheliochorial,Villous
nycticebus_pygmaeus,Primates,188,9672.5,400,376,Epitheliochorial,Villous
loris_tardigradus,Primates,167.61,7044.5,243.71,224.25,Epitheliochorial,Villous
perodicticus_potto,Primates,193,9782,1011,989,Epitheliochorial,Villous
arctocebus_aureus,Primates,133.74,4745,257.5,NA,Epitheliochorial,Villous
cynocephalus_volans,Dermoptera,105,6387.5,1250,NA,Hemochorial,Labyrinthine
