taxonomic_order;species;common_name;gestation_length;neonate_body_size;litter_size;interbirth_interval;longevity;invasiveness;interdigitation;body_mass_g;litter_mass;female_body_mass_g
Perissodactyla;rhinoceros_unicornis;Indian_rhinoceros;479;61326.59;1;879.12;17885;Epitheliochorial;Villous;1600000;61326.59;
Chiroptera;rhinolophus_rouxii;rufous_horseshoe_bat;123.54;2.86;0.99;349.2;1825;Endotheliochorial;Labyrinthine;12.25;2.8314;
Chiroptera;rhinopoma_hardwickii;esser_mouse-tailed_bat;98.28;2.5;1;364.75;4935.28;Endotheliochorial;Labyrinthine;12;2.5;
Macroscelidea;rhynchocyon_petersi;black_and_rufous_elephant_shrew;64.48;-999;1.93;157.4;1639.46;Hemochorial;Labyrinthine;423.99;-1928.07;
Chiroptera;rousettus_aegyptiacus;Egyptian_fruit_bat;116;19.13;1.04;260.28;8358.5;Hemochorial;Labyrinthine;134;19.8952;
Chiroptera;rousettus_leschenaultii;Leschenault's_rousette;118.33;12;1.01;234.78;5110;Hemochorial;Labyrinthine;96.57;12.12;
Artiodactyla;rucervus_duvaucelii;swamp_deer;249.94;-999;1;365;8942.5;Epitheliochorial;Villous;171223.9;-999;
Artiodactyla;rucervus_eldii;Eld's_deer;240.19;4674.98;1.01;377.09;7482.5;Epitheliochorial;Villous;95471.61;4721.7298;
Chiroptera;saccopteryx_bilineata;greater_sac-winged_bat;111.48;3.49;1;349.68;2190;Endotheliochorial;Labyrinthine;7.9;3.49;8
Primates;saguinus_bicolor;pied_tamarin;160;-999;1.63;216.74;6935;Hemochorial;Trabecular;495;-1628.37;
Primates;saguinus_geoffroyi;Geoffroy's_tamarin;172.12;47.84;1.95;240.74;9563;Hemochorial;Trabecular;453.77;93.288;502
Primates;saguinus_imperator;emperor_tamarin;145;46.55;2;208.04;8650.5;Hemochorial;Trabecular;482.15;93.1;
Primates;saguinus_midas;red-handed_tamarin;132.62;39.78;2;206.69;7665;Hemochorial;Trabecular;547.18;79.56;
Primates;saguinus_oedipus;cotton-top_tamarin;177.87;41;1.9;238.37;9563;Hemochorial;Trabecular;445.5;77.9;473
Artiodactyla;saiga_tatarica;saiga_antelope;149.42;3326.46;1.58;364.75;4380;Epitheliochorial;Villous;37992;5255.8068;
Primates;saimiri_boliviensis;black-capped_squirrel_monkey;162.55;-999;1;373.87;11059.5;Hemochorial;Trabecular;799.73;-999;
Eulipotyphla;scalopus_aquaticus;common_mole;41.54;5.35;3.75;264.98;2263;Hemochorial;Labyrinthine;74.6;20.0625;87.2
Rodentia;sciurus_carolinensis;Geoffroy's_tamarin;44;15.17;3;180.1;8760;Hemochorial;Labyrinthine;540.33;45.51;413
Rodentia;sciurus_niger;fox_squirrel;44.34;;3;191.54;5840;Hemochorial;Labyrinthine;803.7;;
Rodentia;sciurus_vulgaris;red_squirrel;38;8.83;4.43;91.06;5402;Hemochorial;Labyrinthine;328.88;39.1169;325
Rodentia;sekeetamys_calurus;bushy-tailed_jird;29.8;-999;2.9;46.55;2664.5;Hemochorial;Labyrinthine;60.25;-2897.1;
Primates;semnopithecus_entellus;northern_plains_gray_langur;192;499.83;1.02;510.63;10685.38;Hemochorial;Trabecular;12679.29;509.8266;
Afrosoricida;setifer_setosus;greater_hedgehog_tenrec;57.52;24.7;3.04;289.24;5146.5;Hemochorial;Labyrinthine;304.11;75.088;218.8
Eulipotyphla;solenodon_paradoxus;Hispaniolan_solenodon;64.8;89.99;1.86;235.67;4416.5;Hemochorial;Labyrinthine;900;167.3814;
Eulipotyphla;sorex_araneus;common_shrew;21;0.42;6.56;42.25;1168;Hemochorial;Labyrinthine;8.2;2.7552;7.45
Eulipotyphla;sorex_fumeus;smoky_shrew;18.87;-999;5.25;55.34;517.08;Hemochorial;Labyrinthine;8.02;-5244.75;
Eulipotyphla;sorex_minutus;Eurasian_pygmy_shrew;23.62;0.22;5.91;97.19;730;Hemochorial;Labyrinthine;4.2;1.3002;3.01
Cetacea;sotalia_fluviatilis;tucuxi;330.25;-999;0.99;730;12775;Epitheliochorial;Villous;46666.68;-989.01;
Carnivora;speothos_venaticus;bush_dog;67.89;157.5;4.13;248.3;5146.5;Endotheliochorial;Labyrinthine;6000;650.475;
Rodentia;spermophilus_citellus;European_ground_squirrel;27.41;-999;6;300.75;2445.5;Hemochorial;Labyrinthine;228.5;-5994;
Cetacea;stenella_coeruleoalba;striped_dolphin;368.28;11300;1.5;1264.38;20987.5;Epitheliochorial;Villous;122950;16950;60500
Eulipotyphla;suncus_murinus;Asian_house_shrew;30;2.44;3.05;55.96;1183.21;Hemochorial;Labyrinthine;45.87;7.442;59.73
Carnivora;suricata_suricatta;meerkat;77;30.5;3.86;364.75;7519;Endotheliochorial;Labyrinthine;776;117.73;
Artiodactyla;sus_cebifrons;Visayan_warty_pig;121.7;-999;5.03;328.56;6205;Epitheliochorial;Villous;102750;-5024.97;
Artiodactyla;sus_scrofa;wild_boar;115.2;807.77;5.57;229.84;9855;Epitheliochorial;Villous;135000;4499.2789;50600
Lagomorpha;sylvilagus_aquaticus;swamp_rabbit;37.8;55.7;3.07;37.75;3250.1;Hemochorial;Labyrinthine;2127.01;170.999;
Lagomorpha;sylvilagus_audubonii;desert_cottontail;28.61;34.36;3;37.71;2853.08;Hemochorial;Labyrinthine;791.29;103.08;
Lagomorpha;sylvilagus_floridanus;eastern_cottontail;28.7;34.15;5;30.2;3577;Hemochorial;Labyrinthine;1178.6;170.75;1248.6
Lagomorpha;sylvilagus_transitionalis;New_England_cottontail;28;-999;4.78;30.2;3577;Hemochorial;Labyrinthine;1150;-4775.22;1077.99
Primates;symphalangus_syndactylus;siamang;231;517;1.02;804.82;15695;Hemochorial;Villous;10869.5;527.34;
Artiodactyla;syncerus_caffer;African_buffalo;333.36;39843.11;1.08;636.44;10877;Epitheliochorial;Villous;646333;43030.5588;
Chiroptera;tadarida_brasiliensis;Mexican_free-tailed_bat;84;3.19;1.06;364.75;5475;Endotheliochorial;Labyrinthine;12.5;3.3814;
Eulipotyphla;talpa_europaea;European_mole;31.34;3.24;3.99;280.64;2555;Endotheliochorial;Labyrinthine;110.42;12.9276;75.64
Pilosa;tamandua_tetradactyla;southern_tamandua;160;-999;1;301.77;7135.75;Hemochorial;Trabecular;4500;-999;
Rodentia;tamias_striatus;eastern_chipmunk;31.25;;4.22;151.37;3467.5;Hemochorial;Labyrinthine;92.6;;
Rodentia;tamiasciurus_hudsonicus;American_red_squirrel;37;6.89;4.2;139.73;4380;Hemochorial;Labyrinthine;210.8;28.938;219.4
Chiroptera;taphozous_melanopogon;black-bearded_tomb_bat;121.76;5.8;1;329.33;7300;Endotheliochorial;Labyrinthine;25.99;5.8;
Perissodactyla;tapirus_bairdii;Baird's_tapir;400.84;-999;1;526.93;10804;Epitheliochorial;Villous;3.00E+05;-999;
Perissodactyla;tapirus_indicus;Malayan_tapir;392;6848.35;1;693.03;13322.5;Epitheliochorial;Villous;296250;6848.35;225000
Perissodactyla;tapirus_pinchaque;mountain_tapir;393.99;4720;1;550.57;10402.5;Epitheliochorial;Villous;148950;4720;
Perissodactyla;tapirus_terrestris;South_American_tapir;396.86;4507.91;1;64.96;14454;Epitheliochorial;Trabecular;225000;4507.91;219500
Cetacea;tasmacetus_shepherdi;Shepherd's_beaked_whale;370.68;;1;1070.31;20382.01;Epitheliochorial;Villous;5600000;;
Carnivora;taxidea_taxus;American_badger;43.8;93.49;3;364.75;9490;Endotheliochorial;Labyrinthine;8000;280.47;6385
Afrosoricida;tenrec_ecaudatus;tailless_tenrec;60.24;24.24;16.89;216.56;3175.5;Hemochorial;Labyrinthine;885.8;409.4136;658.3
Primates;theropithecus_gelada;gelada;172.42;464.92;1;752.73;13140;Hemochorial;Trabecular;15964.11;464.92;
Rodentia;thomomys_bottae;Botta's_pocket_gopher;23.87;3.2;4.33;244.04;2226.5;Hemochorial;Labyrinthine;103.5;13.856;85
Chiroptera;thyroptera_tricolor;Spixs_disk-winged_bat;154.24;1.09;0.98;287.13;5421.74;Hemochorial;Labyrinthine;4.52;1.0682;
Cingulata;tolypeutes_tricinctus;Brazilian_three-banded_armadillo;99.97;-999;0.93;330.57;2427.25;Endotheliochorial;Trabecular;1465.72;-929.07;
Primates;trachypithecus_auratus;East_Javan_langur;169.87;;1.06;520.37;11351.5;Hemochorial;Trabecular;9719.6;;
Primates;trachypithecus_cristatus;silvery_lutung;149.75;-999;1;618.96;12373.5;Hemochorial;Trabecular;7071.5;-999;
Primates;trachypithecus_delacouri;Delacour's_langur;165.24;-999;1.5;623.03;9599.5;Hemochorial;Trabecular;7325;-1498.5;
Primates;trachypithecus_francoisi;Franois'_langur;168.2;454.56;1.26;541.77;9599.5;Hemochorial;Trabecular;7604.75;572.7456;
Primates;trachypithecus_germaini;Germain's_langur;149.75;;1;611.78;12373.5;Hemochorial;Trabecular;7071.5;;
Primates;trachypithecus_obscurus;dusky_leaf_monkey;146.63;339.18;1;616.82;12373.5;Hemochorial;Trabecular;7163.94;339.18;
Primates;trachypithecus_vetulus;purple-faced_langur;211;359.99;1;783.29;9526.5;Hemochorial;Villous;7081.8;359.99;
Artiodactyla;tragelaphus_angasii;lowland_nyala;224;5541.58;1;295.8;6752.5;Epitheliochorial;Villous;100666.7;5541.58;
Artiodactyla;tragelaphus_eurycerus;antelope;288;19944.92;1;549.27;7993.5;Epitheliochorial;Villous;270998.4;19944.92;
Artiodactyla;tragelaphus_imberbis;lesser_kudu;235;5891.21;1;258.36;7227;Epitheliochorial;Villous;82500;5891.21;
Artiodactyla;tragelaphus_oryx;common_eland;271;;1;338.27;9526.5;Epitheliochorial;Villous;291250;;
Artiodactyla;tragelaphus_scriptus;harnessed_bushbuck;187.79;3027.79;1;235.56;5584.5;Epitheliochorial;Villous;43250.39;3027.79;
Artiodactyla;tragelaphus_spekii;sitatunga;242;4000;1;352.67;8249;Epitheliochorial;Villous;87500;4000;
Artiodactyla;tragelaphus_strepsiceros;greater_kudu;225.54;15366.57;1;364.75;8577.5;Epitheliochorial;Villous;206056.4;15366.57;166300
Artiodactyla;tragulus_javanicus;Java_mouse-deer;144;-999;1;188.18;5110;Epitheliochorial;Villous;1753.97;-999;
Artiodactyla;tragulus_napu;greater_mouse-deer;153.62;372.99;1;151.94;6095.5;Epitheliochorial;Villous;3850;372.99;
Carnivora;tremarctos_ornatus;spectacled_bear;225.55;320;1.5;365;14329.29;Endotheliochorial;Labyrinthine;109250;480;
Sirenia;trichechus_manatus;West_Indian_manatee;334.58;29636.99;1;1094.63;20440;Endotheliochorial;Labyrinthine;387500;29636.99;
Scandentia;tupaia_belangeri;northern_treeshrew;46;-999;2;45.12;4532.08;Endotheliochorial;Labyrinthine;200;-1998;
Scandentia;tupaia_glis;common_treeshrew;46;12.6;2.22;45.12;4532.08;Endotheliochorial;Labyrinthine;159;27.972;176.5
Scandentia;tupaia_gracilis;slender_treeshrew;47.69;;2.42;138.53;1274.46;Endotheliochorial;Labyrinthine;111.95;;
Scandentia;tupaia_javanica;Horsfield's_treeshrew;46.35;-999;2.95;143.86;2438.96;Endotheliochorial;Labyrinthine;105;-2947.05;
Scandentia;tupaia_longipes;long-footed_treeshrew;46;-999;2.11;45.12;4532.08;Endotheliochorial;Labyrinthine;163.53;-2107.89;
Scandentia;tupaia_minor;pygmy_treeshrew;50;-999;1.99;49.97;4453;Endotheliochorial;Labyrinthine;58.6;-1988.01;
Scandentia;tupaia_montana;mountain_treeshrew;49.61;11;1.76;122.47;577.92;Endotheliochorial;Labyrinthine;225.53;19.36;
Scandentia;tupaia_palawanensis;Palawan_treeshrew;47.95;;2.6;148.83;2570.93;Endotheliochorial;Labyrinthine;168.05;;
Scandentia;tupaia_picta;painted_treeshrew;48.19;;2.41;151.06;2310.43;Endotheliochorial;Labyrinthine;168.05;;
Scandentia;tupaia_tana;large_treeshrew;54.62;-999;2.19;365;5110;Hemochorial;Labyrinthine;197.8;-2187.81;215
Cetacea;tursiops_truncatus;common_bottlenose_dolphin;365;24369.6;1;1095;19345;Epitheliochorial;Villous;230000;24369.6;145833
Rodentia;urocitellus_columbianus;Columbian_ground_squirrel;24.2;;3.54;402.38;1548.21;Hemochorial;Labyrinthine;468.64;;
Rodentia;urocitellus_richardsonii;Richardson's_ground_squirrel;22.8;;7.23;362.36;2190;Hemochorial;Labyrinthine;273.54;;367
Carnivora;urocyon_cinereoargenteus;gray_fox;61.48;103.68;3.9;364.75;5913;Endotheliochorial;Labyrinthine;4220;404.352;
Carnivora;ursus_americanus;American_black_bear;91.01;293.99;2.47;775.09;12410;Endotheliochorial;Labyrinthine;132405;726.1553;97000
Carnivora;ursus_arctos;brown_bear;103;499.99;2.27;881.65;18250;Endotheliochorial;Labyrinthine;240500;1134.9773;111857.14
Carnivora;ursus_maritimus;polar_bear;147.42;670.48;1.66;790.29;16425;Endotheliochorial;Labyrinthine;371703.8;1112.9968;272500
Carnivora;ursus_thibetanus;Asian_black_bear;213.05;357.5;1.67;364.75;14308;Endotheliochorial;Labyrinthine;99714.19;597.025;
Primates;varecia_rubra;red_ruffed_lemur;100.33;;2.2;364.75;13206.92;Epitheliochorial;Villous;3670;;3473
Artiodactyla;vicugna_vicugna;vicua;345.45;6082.92;1;547.38;22435.33;Epitheliochorial;Trabecular;50000;6082.92;37500
Carnivora;viverricula_indica;small_Indian_civet;71.39;-999;3.81;227.64;4675.04;Endotheliochorial;Labyrinthine;2959.44;-3806.19;
Carnivora;vulpes_lagopus;Arctic_fox;52.5;69.17;8.12;364.75;5949.5;Endotheliochorial;Labyrinthine;3600;561.6604;
Carnivora;vulpes_macrotis;kit_fox;53.7;-999;4.44;364.75;7300;Endotheliochorial;Labyrinthine;2088;-4435.56;
Carnivora;vulpes_velox;swift_fox;53.7;39.94;4.44;364.75;7300;Endotheliochorial;Labyrinthine;2088;177.3336;
Carnivora;vulpes_vulpes;red_fox;52.35;100.49;4.73;364.75;7774.5;Endotheliochorial;Labyrinthine;4580.3;475.3177;3900
Carnivora;vulpes_zerda;fennec_fox;51;28.04;2.36;364.75;5949.5;Endotheliochorial;Labyrinthine;1207.5;66.1744;
Rodentia;xerus_inauris;Cape_ground_squirrel;47.29;20;2.12;283.39;4745;Hemochorial;Labyrinthine;557.3;42.4;550
Carnivora;zalophus_californianus;California_sea_lion;334.84;6347.89;1.1;729.5;13030.5;Endotheliochorial;Labyrinthine;158597.4;6982.679;95666.66667
