"species","taxonomic_order","litter_mass","longevity","body_mass_g","female_body_mass_g","invasiveness","interdigitation","relative_litter_mass","relative_litter_mass_female","litter_size","neonate_body_size"
"chaetophractus_villosus","Cingulata",205.392,9198,4372.8,2507,"Hemochorial","Trabecular",0.0469703622392975,0.0819274032708416,1.65,124.48
"cheirogaleus_medius","Primates",32.23,8471.04,294.19,282,"Epitheliochorial","Villous",0.109555049457833,0.114290780141844,2.2,14.65
"chinchilla_lanigera","Rodentia",66.9071,7300,485,800,"Hemochorial","Labyrinthine",0.137952783505155,0.083633875,1.69,39.59
"choloepus_didactylus","Pilosa",364,13432,6250,,"Endotheliochorial","Trabecular",0.05824,,1,364
"choloepus_hoffmanni","Pilosa",373,13505,4250,6300,"Endotheliochorial","Trabecular",0.0877647058823529,0.0592063492063492,1,373
"chrysocyon_brachyurus","Carnivora",1116.87,6132,22250,24630,"Endotheliochorial","Labyrinthine",0.050196404494382,0.0453459196102314,3,372.29
"coendou_prehensilis","Rodentia",410.8,9709,3900,,"Hemochorial","Labyrinthine",0.105333333333333,,1,410.8
"colobus_guereza","Primates",444.92,12775,9058.41,,"Hemochorial","Trabecular",0.0491167876040056,,1,444.92
"connochaetes_gnou","Artiodactyla",10941.45,7957,132250,,"Epitheliochorial","Villous",0.0827330812854442,,1,10941.45
"connochaetes_taurinus","Artiodactyla",18044.36,9015.5,180500,,"Epitheliochorial","Villous",0.0999687534626039,,1,18044.36
"cricetomys_gambianus","Rodentia",75.5244,3066,1510.7,,"Hemochorial","Labyrinthine",0.0499929833851857,,3.33,22.68
"cricetulus_barabensis","Rodentia",10.66,1934.5,22.85,,"Hemochorial","Labyrinthine",0.466520787746171,,5.33,2
"crocuta_crocuta","Carnivora",2920,15001.5,63000,,"Hemochorial","Labyrinthine",0.0463492063492063,,2,1460
"crossarchus_obscurus","Carnivora",39.12,4854.5,790,,"Endotheliochorial","Labyrinthine",0.0495189873417721,,4,9.78
"cryptoprocta_ferox","Carnivora",299.88,8431.5,9500,6100,"Endotheliochorial","Labyrinthine",0.0315663157894737,0.0491606557377049,3,99.96
"ctenodactylus_gundi","Rodentia",56.791,2117,288.8,,"Hemochorial","Labyrinthine",0.196644736842105,,1.9,29.89
"cuniculus_paca","Rodentia",681.5177,6132,9000,,"Hemochorial","Labyrinthine",0.0757241888888889,,1.01,674.77
"cynocephalus_volans","Dermoptera",35.79,6387.5,1250,,"Hemochorial","Labyrinthine",0.028632,,1,35.79
"cynomys_ludovicianus","Rodentia",67.5132,6570,1125,,"Hemochorial","Labyrinthine",0.0600117333333333,,4.43,15.24
"cynopterus_sphinx","Chiroptera",12.1,3686.5,37.4,47.84,"Hemochorial","Labyrinthine",0.323529411764706,0.252926421404682,1.1,11
"cystophora_cristata","Carnivora",21992.7,12775,245448.4,,"Endotheliochorial","Labyrinthine",0.0896021322607929,,1,21992.7
"dama_dama","Artiodactyla",5027.3308,9125,63612.31,40766.66667,"Epitheliochorial","Villous",0.0790307850791773,0.123319643489508,1.07,4698.44
"damaliscus_lunatus","Artiodactyla",11000,8614,118798.7,,"Epitheliochorial","Villous",0.0925936058222859,,1,11000
"dasypus_novemcinctus","Cingulata",385.92,8151.67,3949.01,4428.5,"Hemochorial","Trabecular",0.0977257591143097,0.087144631365022,4,96.48
"daubentonia_madagascariensis","Primates",121.79,8869.5,2610.33,2573,"Epitheliochorial","Villous",0.0466569360962024,0.047333851535173,1,121.79
"delphinapterus_leucas","Cetacea",58140,14600,1380000,,"Epitheliochorial","Villous",0.0421304347826087,,1.02,57000
"delphinus_delphis","Cetacea",6998.9535,10594.12,77818.35,,"Epitheliochorial","Villous",0.0899396286351484,,0.99,7069.65
"desmodus_rotundus","Chiroptera",6.94,10658,33.18,43.37795276,"Endotheliochorial","Labyrinthine",0.209162145871007,0.159989108716066,1,6.94
"dicerorhinus_sumatrensis","Perissodactyla",22849.5,12775,1260000,,"Epitheliochorial","Villous",0.0181345238095238,,1,22849.5
"diceros_bicornis","Perissodactyla",34999.99,17973.21,995940.5,,"Epitheliochorial","Villous",0.0351426515941464,,1,34999.99
"dicrostonyx_groenlandicus","Rodentia",15.028,1204.5,58.44,,"Hemochorial","Labyrinthine",0.257152635181383,,3.4,4.42
"dinomys_branickii","Rodentia",1515.7771,4745,12500,5300,"Hemochorial","Labyrinthine",0.121262168,0.285995679245283,1.97,769.43
"dipodomys_deserti","Rodentia",13.4232,3285,106.75,,"Hemochorial","Labyrinthine",0.125744262295082,,3.29,4.08
"dipodomys_merriami","Rodentia",7.567,3540.5,37.81,32.6,"Endotheliochorial","Labyrinthine",0.200132240148109,0.232116564417178,2.3,3.29
"dipodomys_ordii","Rodentia",15.7185,3613.5,49.6,,"Endotheliochorial","Labyrinthine",0.316905241935484,,3.15,4.99
"dipodomys_panamintinus","Rodentia",15.75,1974.04,56.58,,"Endotheliochorial","Labyrinthine",0.278366914103924,,3.5,4.5
"dolichotis_patagonum","Rodentia",1088.4448,5256,12500,,"Hemochorial","Labyrinthine",0.087075584,,1.88,578.96
"echinops_telfairi","Afrosoricida",41.1201,6935,166.13,99.9,"Hemochorial","Labyrinthine",0.247517606693553,0.411612612612613,5.49,7.49
"eira_barbara","Carnivora",166,8139.5,4134.99,4350,"Endotheliochorial","Labyrinthine",0.0401451998674725,0.0381609195402299,2,83
"elaphurus_davidianus","Artiodactyla",11618.925,10037.5,165989.2,130500,"Epitheliochorial","Villous",0.0699980781882195,0.089033908045977,1.11,10467.5
"elephantulus_myurus","Macroscelidea",14.904,1517.79,61.99,53.83,"Hemochorial","Labyrinthine",0.240425875141152,0.276871632918447,1.84,8.1
"elephantulus_rufescens","Macroscelidea",14.5089,2883.5,55.5,,"Hemochorial","Labyrinthine",0.261421621621622,,1.41,10.29
"elephas_maximus","Proboscidea",97000,29200,3220000,2663333.333,"Endotheliochorial","Labyrinthine",0.0301242236024845,0.0364205256616296,1,97000
"enhydra_lutris","Carnivora",1894.37,10950,27410.93,,"Endotheliochorial","Labyrinthine",0.0691100228996243,,1,1894.37
"equus_grevyi","Perissodactyla",39999.99,11384.96,384000,,"Epitheliochorial","Villous",0.104166640625,,1,39999.99
"equus_zebra","Perissodactyla",29496.68,12118,296000,248100,"Epitheliochorial","Villous",0.099650945945946,0.118890286174929,1,29496.68
"erethizon_dorsatum","Rodentia",490.59,8541,8009.73,6818.44444,"Hemochorial","Labyrinthine",0.0612492555928852,0.0719504286229837,1,490.59
"erinaceus_europaeus","Erinaceomorpha",65.5788,5110,777.95,667,"Hemochorial","Labyrinthine",0.0842969342502731,0.0983190404797601,4.22,15.54
"erythrocebus_patas","Primates",621.67,10329.5,7660.5,,"Hemochorial","Trabecular",0.0811526662750473,,1,621.67
"eudorcas_thomsonii","Artiodactyla",2500,7300,23197.67,,"Epitheliochorial","Villous",0.10776944408641,,1,2500
"eulemur_coronatus","Primates",86.715,10950,1699.85,,"Epitheliochorial","Villous",0.051013324705121,,1.5,57.81
"eulemur_mongoz","Primates",66.0228,13213,1915.57,1658,"Epitheliochorial","Villous",0.0344663990352741,0.0398207478890229,1.11,59.48
"eulemur_rubriventer","Primates",84.97,7497.71,1765.33,2139,"Epitheliochorial","Villous",0.048132643754992,0.039724170172978,1,84.97
