species,taxonomic_order,interbirth_interval,longevity,body_mass_g,female_body_mass_g,invasiveness,interdigitation
antilope_cervicapra,Artiodactyla,221.63,8723.5,37500,NA,Epitheliochorial,Villous
antidorcas_marsupialis,Artiodactyla,364.75,7300,33571.24,27850,Epitheliochorial,Villous
litocranius_walleri,Artiodactyla,240.61,6314.5,41333.33,NA,Epitheliochorial,Villous
saiga_tatarica,Artiodactyla,364.75,4380,37992,NA,Epitheliochorial,Villous
madoqua_guentheri,Artiodactyla,211.87,6387.5,4550,NA,Epitheliochorial,Villous
madoqua_kirkii,Artiodactyla,213.1,6314.5,4833.4,NA,Epitheliochorial,Villous
raphicerus_campestris,Artiodactyla,216.85,5110,11333.33,NA,Epitheliochorial,Villous
kobus_leche,Artiodactyla,369.27,9271,91722.52,NA,Epitheliochorial,Villous
kobus_megaceros,Artiodactyla,352.76,7701.5,87902.96,NA,Epitheliochorial,Villous
kobus_ellipsiprymnus,Artiodactyla,364.75,11080.79,175333,NA,Epitheliochorial,Villous
cephalophus_rufilatus,Artiodactyla,246.4,5548,12500,NA,Epitheliochorial,Villous
cephalophus_niger,Artiodactyla,231.41,5402,18100,NA,Epitheliochorial,Villous
cephalophus_silvicultor,Artiodactyla,305.79,8212.5,62006.6,NA,Epitheliochorial,Villous
cephalophus_jentinki,Artiodactyla,271.42,7771.46,69244.92,NA,Epitheliochorial,Villous
cephalophus_dorsalis,Artiodactyla,310.77,6387.5,11600,11600,Epitheliochorial,Villous
philantomba_monticola,Artiodactyla,264.82,5803.5,4896.05,NA,Epitheliochorial,Villous
neotragus_pygmaeus,Artiodactyla,264.82,5803.5,4200,NA,Epitheliochorial,Villous
oreotragus_oreotragus,Artiodactyla,364.75,9453.5,13000,NA,Epitheliochorial,Villous
aepyceros_melampus,Artiodactyla,364.75,9344,52500,40480,Epitheliochorial,Villous
bos_gaurus,Artiodactyla,518.16,9563,812571.5,NA,Epitheliochorial,Villous
bos_javanicus,Artiodactyla,470.28,9891.5,683333.3,NA,Epitheliochorial,Villous
bubalus_depressicornis,Artiodactyla,415.85,13176.5,205994.6,NA,Epitheliochorial,Villous
bubalus_mindorensis,Artiodactyla,1094.25,10220,243861.5,NA,Epitheliochorial,Villous
syncerus_caffer,Artiodactyla,636.44,10877,646333,NA,Epitheliochorial,Villous
tragelaphus_eurycerus,Artiodactyla,549.27,7993.5,270998.4,NA,Epitheliochorial,Villous
tragelaphus_spekii,Artiodactyla,352.67,8249,87500,NA,Epitheliochorial,Villous
