"species","neonate_body_size","body_mass_g","longevity","invasiveness","interdigitation","neonate_over_adult","taxonomic_order"
"saguinus_imperator",46.55,482.15,8650.5,"Hemochorial","Trabecular",0.0965467178264026,"Primates"
"saguinus_midas",39.78,547.18,7665,"Hemochorial","Trabecular",0.0727000255857305,"Primates"
"saguinus_oedipus",41,445.5,9563,"Hemochorial","Trabecular",0.0920314253647587,"Primates"
"saiga_tatarica",3326.46,37992,4380,"Epitheliochorial","Villous",0.087556854074542,"Artiodactyla"
"scalopus_aquaticus",5.35,74.6,2263,"Hemochorial","Labyrinthine",0.07171581769437,"Eulipotyphla"
"sciurus_carolinensis",15.17,540.33,8760,"Hemochorial","Labyrinthine",0.0280754353820813,"Rodentia"
"sciurus_vulgaris",8.83,328.88,5402,"Hemochorial","Labyrinthine",0.026848698613476,"Rodentia"
"semnopithecus_entellus",499.83,12679.29,10685.38,"Hemochorial","Trabecular",0.0394209770420899,"Primates"
"setifer_setosus",24.7,304.11,5146.5,"Hemochorial","Labyrinthine",0.0812206109631383,"Afrosoricida"
"solenodon_paradoxus",89.99,900,4416.5,"Hemochorial","Labyrinthine",0.0999888888888889,"Eulipotyphla"
"sorex_araneus",0.42,8.2,1168,"Hemochorial","Labyrinthine",0.051219512195122,"Eulipotyphla"
"sorex_minutus",0.22,4.2,730,"Hemochorial","Labyrinthine",0.0523809523809524,"Eulipotyphla"
"speothos_venaticus",157.5,6000,5146.5,"Endotheliochorial","Labyrinthine",0.02625,"Carnivora"
"stenella_coeruleoalba",11300,122950,20987.5,"Epitheliochorial","Villous",0.0919072793818625,"Artiodactyla"
"suncus_murinus",2.44,45.87,1183.21,"Hemochorial","Labyrinthine",0.053193808589492,"Eulipotyphla"
"suricata_suricatta",30.5,776,7519,"Endotheliochorial","Labyrinthine",0.0393041237113402,"Carnivora"
"sus_scrofa",807.77,135000,9855,"Epitheliochorial","Villous",0.00598348148148148,"Artiodactyla"
"sylvilagus_aquaticus",55.7,2127.01,3250.1,"Hemochorial","Labyrinthine",0.0261869948895398,"Lagomorpha"
"sylvilagus_audubonii",34.36,791.29,2853.08,"Hemochorial","Labyrinthine",0.0434227653578334,"Lagomorpha"
"sylvilagus_floridanus",34.15,1178.6,3577,"Epitheliochorial","Labyrinthine",0.0289750551501782,"Lagomorpha"
"symphalangus_syndactylus",517,10869.5,15695,"Hemochorial","Villous",0.0475642853857123,"Primates"
"syncerus_caffer",39843.11,646333,10877,"Epitheliochorial","Villous",0.0616448641799196,"Artiodactyla"
"tadarida_brasiliensis",3.19,12.5,5475,"Endotheliochorial","Labyrinthine",0.2552,"Chiroptera"
"talpa_europaea",3.24,110.42,2555,"Endotheliochorial","Labyrinthine",0.0293425104147799,"Eulipotyphla"
"tamiasciurus_hudsonicus",6.89,210.8,4380,"Hemochorial","Labyrinthine",0.032685009487666,"Rodentia"
"taphozous_melanopogon",5.8,25.99,7300,"Endotheliochorial","Labyrinthine",0.223162754905733,"Chiroptera"
"tapirus_indicus",6848.35,296250,13322.5,"Epitheliochorial","Villous",0.0231167932489451,"Perissodactyla"
"tapirus_pinchaque",4720,148950,10402.5,"Epitheliochorial","Villous",0.0316884860691507,"Perissodactyla"
"tapirus_terrestris",4507.91,225000,14454,"Epitheliochorial","Trabecular",0.0200351555555556,"Perissodactyla"
"taxidea_taxus",93.49,8000,9490,"Endotheliochorial","Labyrinthine",0.01168625,"Carnivora"
"tenrec_ecaudatus",24.24,885.8,3175.5,"Hemochorial","Labyrinthine",0.0273650937006096,"Afrosoricida"
"theropithecus_gelada",464.92,15964.11,13140,"Hemochorial","Trabecular",0.0291228261393839,"Primates"
"thomomys_bottae",3.2,103.5,2226.5,"Hemochorial","Labyrinthine",0.0309178743961353,"Rodentia"
"thyroptera_tricolor",1.09,4.52,5421.74,"Hemochorial","Labyrinthine",0.241150442477876,"Chiroptera"
"trachypithecus_francoisi",454.56,7604.75,9599.5,"Hemochorial","Villous",0.0597731680857359,"Primates"
"trachypithecus_obscurus",339.18,7163.94,12373.5,"Hemochorial","Villous",0.0473454551545658,"Primates"
"trachypithecus_vetulus",359.99,7081.8,9526.5,"Hemochorial","Villous",0.0508331215227767,"Primates"
"tragelaphus_angasii",5541.58,100666.7,6752.5,"Epitheliochorial","Villous",0.0550487897189438,"Artiodactyla"
"tragelaphus_eurycerus",19944.92,270998.4,7993.5,"Epitheliochorial","Villous",0.073597925301404,"Artiodactyla"
"tragelaphus_imberbis",5891.21,82500,7227,"Epitheliochorial","Villous",0.0714086060606061,"Artiodactyla"
"tragelaphus_scriptus",3027.79,43250.39,5584.5,"Epitheliochorial","Villous",0.0700060739336686,"Artiodactyla"
