"species","interbirth_interval","longevity","invasiveness","interdigitation","taxonomic_order"
"lobodon_carcinophaga",638.31,14235,"Endotheliochorial","Labyrinthine","Carnivora"
"lontra_canadensis",364.75,9855,"Endotheliochorial","Labyrinthine","Carnivora"
"lophocebus_aterrimus",676.61,13389.42,"Hemochorial","Villous","Primates"
"loris_tardigradus",235.09,7044.5,"Epitheliochorial","Villous","Primates"
"loxodonta_africana",1735.31,29200,"Endotheliochorial","Labyrinthine","Proboscidea"
"lycaon_pictus",358.69,6205,"Endotheliochorial","Labyrinthine","Carnivora"
"lynx_canadensis",364.75,9782,"Endotheliochorial","Labyrinthine","Carnivora"
"lynx_lynx",364.75,9782,"Endotheliochorial","Labyrinthine","Carnivora"
"lynx_rufus",364.75,11801.67,"Endotheliochorial","Labyrinthine","Carnivora"
"macaca_fascicularis",414.44,14235,"Hemochorial","Trabecular","Primates"
"macaca_fuscata",499.99,14052.5,"Hemochorial","Trabecular","Primates"
"macaca_mulatta",414.47,14600,"Hemochorial","Trabecular","Primates"
"macaca_nigra",539.73,12410,"Hemochorial","Trabecular","Primates"
"macaca_radiata",364.75,10959.13,"Hemochorial","Trabecular","Primates"
"macaca_silenus",506.35,14663.88,"Hemochorial","Trabecular","Primates"
"macroscelides_proboscideus",78.18,3175.5,"Hemochorial","Labyrinthine","Macroscelidea"
"madoqua_guentheri",211.87,6387.5,"Epitheliochorial","Villous","Artiodactyla"
"madoqua_kirkii",213.1,6314.5,"Epitheliochorial","Villous","Artiodactyla"
"mandrillus_sphinx",526.46,16910.45,"Hemochorial","Trabecular","Primates"
"marmota_flaviventris",456.81,7738,"Hemochorial","Labyrinthine","Rodentia"
"marmota_monax",591.94,5110,"Hemochorial","Labyrinthine","Rodentia"
"martes_americana",364.75,6935,"Endotheliochorial","Labyrinthine","Carnivora"
"martes_zibellina",229.12,8030,"Endotheliochorial","Labyrinthine","Carnivora"
"mastomys_natalensis",31.85,1061.54,"Hemochorial","Labyrinthine","Rodentia"
"mazama_americana",327.31,6241.5,"Epitheliochorial","Villous","Artiodactyla"
"megaptera_novaeangliae",693.03,34675,"Epitheliochorial","Villous","Artiodactyla"
"melursus_ursinus",1094.25,14600,"Hemochorial","Labyrinthine","Carnivora"
"meriones_shawi",31.23,1700.29,"Hemochorial","Labyrinthine","Rodentia"
"meriones_unguiculatus",45.97,2299.5,"Hemochorial","Labyrinthine","Rodentia"
"mesocricetus_auratus",49.67,3650,"Hemochorial","Labyrinthine","Rodentia"
"microcebus_murinus",218.85,6643,"Epitheliochorial","Villous","Primates"
"microdipodops_megacephalus",111.27,1977.08,"Endotheliochorial","Labyrinthine","Rodentia"
"microtus_xanthognathus",34.87,1000.25,"Hemochorial","Labyrinthine","Rodentia"
