"species","litter_size","longevity","invasiveness","interdigitation","taxonomic_order"
"ctenodactylus_gundi",1.9,2117,"Hemochorial","Labyrinthine","Rodentia"
"cuniculus_paca",1.01,6132,"Hemochorial","Labyrinthine","Rodentia"
"cyclopes_didactylus",1,839.5,"Hemochorial","Trabecular","Pilosa"
"cynocephalus_volans",1,6387.5,"Hemochorial","Labyrinthine","Dermoptera"
"cynomys_ludovicianus",4.43,6570,"Hemochorial","Labyrinthine","Rodentia"
"cynopterus_sphinx",1.1,3686.5,"Hemochorial","Labyrinthine","Chiroptera"
"cystophora_cristata",1,12775,"Endotheliochorial","Labyrinthine","Carnivora"
"dama_dama",1.07,9125,"Epitheliochorial","Villous","Artiodactyla"
"damaliscus_lunatus",1,8614,"Epitheliochorial","Villous","Artiodactyla"
"dasyprocta_leporina",1.88,5803.5,"Hemochorial","Labyrinthine","Rodentia"
"dasyprocta_punctata",1.64,5037,"Hemochorial","Labyrinthine","Rodentia"
"dasypus_hybridus",6.18,4950.86,"Hemochorial","Trabecular","Cingulata"
"dasypus_novemcinctus",4,8151.67,"Hemochorial","Trabecular","Cingulata"
"daubentonia_madagascariensis",1,8869.5,"Epitheliochorial","Villous","Primates"
"delphinapterus_leucas",1.02,14600,"Epitheliochorial","Villous","Artiodactyla"
"delphinus_delphis",0.99,10594.12,"Epitheliochorial","Villous","Artiodactyla"
"dendrogale_murina",2,4380,"Endotheliochorial","Labyrinthine","Scandentia"
"desmodus_rotundus",1,10658,"Endotheliochorial","Labyrinthine","Chiroptera"
"dicerorhinus_sumatrensis",1,12775,"Epitheliochorial","Villous","Perissodactyla"
"diceros_bicornis",1,17973.21,"Epitheliochorial","Villous","Perissodactyla"
"dicrostonyx_groenlandicus",3.4,1204.5,"Hemochorial","Labyrinthine","Rodentia"
"dinomys_branickii",1.97,4745,"Hemochorial","Labyrinthine","Rodentia"
"dipodomys_deserti",3.29,3285,"Hemochorial","Labyrinthine","Rodentia"
"dipodomys_merriami",2.3,3540.5,"Endotheliochorial","Labyrinthine","Rodentia"
"dipodomys_ordii",3.15,3613.5,"Endotheliochorial","Labyrinthine","Rodentia"
"dipodomys_panamintinus",3.5,1974.04,"Endotheliochorial","Labyrinthine","Rodentia"
"dolichotis_patagonum",1.88,5256,"Hemochorial","Labyrinthine","Rodentia"
"echinops_telfairi",5.49,6935,"Hemochorial","Labyrinthine","Afrosoricida"
"eira_barbara",2,8139.5,"Endotheliochorial","Labyrinthine","Carnivora"
"elaphodus_cephalophus",1,8285.5,"Epitheliochorial","Villous","Artiodactyla"
"elaphurus_davidianus",1.11,10037.5,"Epitheliochorial","Villous","Artiodactyla"
"elephantulus_brachyrhynchus",1.65,1517.79,"Hemochorial","Labyrinthine","Macroscelidea"
"elephantulus_myurus",1.84,1517.79,"Hemochorial","Labyrinthine","Macroscelidea"
"elephantulus_rufescens",1.41,2883.5,"Hemochorial","Labyrinthine","Macroscelidea"
"elephas_maximus",1,29200,"Endotheliochorial","Labyrinthine","Proboscidea"
"enhydra_lutris",1,10950,"Endotheliochorial","Labyrinthine","Carnivora"
"epomophorus_wahlbergi",1,3686.5,"Hemochorial","Labyrinthine","Chiroptera"
"equus_grevyi",1,11384.96,"Epitheliochorial","Villous","Perissodactyla"
"equus_hemionus",1,14162,"Epitheliochorial","Villous","Perissodactyla"
"equus_kiang",1,14162,"Epitheliochorial","Trabecular","Perissodactyla"
"equus_zebra",1,12118,"Epitheliochorial","Villous","Perissodactyla"
"erethizon_dorsatum",1,8541,"Hemochorial","Labyrinthine","Rodentia"
"erinaceus_europaeus",4.22,5110,"Hemochorial","Labyrinthine","Eulipotyphla"
"erythrocebus_patas",1,10329.5,"Hemochorial","Trabecular","Primates"
"eudorcas_thomsonii",1,7300,"Epitheliochorial","Villous","Artiodactyla"
"eulemur_albifrons",1.07,14235,"Epitheliochorial","Villous","Primates"
"eulemur_collaris",1.1,13505,"Epitheliochorial","Villous","Primates"
"eulemur_coronatus",1.5,10950,"Epitheliochorial","Villous","Primates"
"eulemur_mongoz",1.11,13213,"Epitheliochorial","Villous","Primates"
"eulemur_rubriventer",1,7497.71,"Epitheliochorial","Villous","Primates"
"eulemur_rufus",1.1,13505,"Epitheliochorial","Villous","Primates"
"eulemur_sanfordi",1.1,13505,"Epitheliochorial","Villous","Primates"
"eumetopias_jubatus",1,11972,"Endotheliochorial","Labyrinthine","Carnivora"
"euphractus_sexcinctus",1.75,8066.5,"Hemochorial","Trabecular","Cingulata"
"felis_chaus",3,7300,"Endotheliochorial","Labyrinthine","Carnivora"
"felis_margarita",4.5,5073.5,"Endotheliochorial","Labyrinthine","Carnivora"
"felis_nigripes",1.91,5694,"Endotheliochorial","Labyrinthine","Carnivora"
"felis_silvestris",3.69,10220,"Endotheliochorial","Labyrinthine","Carnivora"
"fukomys_damarensis",2.5,5657.5,"Hemochorial","Villous","Rodentia"
"funambulus_pennantii",3.14,1852.38,"Hemochorial","Labyrinthine","Rodentia"
"furipterus_horrens",1,5768.69,"Hemochorial","Labyrinthine","Chiroptera"
"galago_moholi",1.55,6874.17,"Epitheliochorial","Villous","Primates"
"galago_senegalensis",1.5,6874.17,"Epitheliochorial","Villous","Primates"
"galea_musteloides",2.63,1277.5,"Hemochorial","Labyrinthine","Rodentia"
"gazella_cuvieri",1.23,6533.5,"Epitheliochorial","Villous","Artiodactyla"
"gazella_dorcas",1.22,8650.5,"Epitheliochorial","Villous","Artiodactyla"
"gazella_leptoceros",1,5329,"Epitheliochorial","Villous","Artiodactyla"
"gazella_marica",1.39,7300,"Epitheliochorial","Villous","Artiodactyla"
"gazella_spekei",1,5405.04,"Epitheliochorial","Villous","Artiodactyla"
"gazella_subgutturosa",1.39,7300,"Epitheliochorial","Villous","Artiodactyla"
"genetta_tigrina",2.5,7774.5,"Endotheliochorial","Labyrinthine","Carnivora"
"geomys_bursarius",3.39,4380,"Hemochorial","Labyrinthine","Rodentia"
"giraffa_camelopardalis",1.12,14417.5,"Epitheliochorial","Villous","Artiodactyla"
"glaucomys_sabrinus",3,5183,"Hemochorial","Labyrinthine","Rodentia"
"glaucomys_volans",3.13,6935,"Hemochorial","Labyrinthine","Rodentia"
"glossophaga_soricina",1,4015,"Endotheliochorial","Labyrinthine","Chiroptera"
"gorilla_gorilla",1.01,20221,"Hemochorial","Villous","Primates"
"gulo_gulo",2.84,7117.5,"Endotheliochorial","Labyrinthine","Carnivora"
"halichoerus_grypus",1,17035.46,"Endotheliochorial","Labyrinthine","Carnivora"
"hapalemur_griseus",1.2,8504.5,"Epitheliochorial","Villous","Primates"
"helarctos_malayanus",1.1,13103.5,"Endotheliochorial","Labyrinthine","Carnivora"
"helogale_hirtula",3.37,3522.25,"Endotheliochorial","Labyrinthine","Carnivora"
"hemicentetes_semispinosus",5.17,1000.71,"Hemochorial","Labyrinthine","Afrosoricida"
"hemigalus_derbyanus",2,6570,"Endotheliochorial","Labyrinthine","Carnivora"
"hemitragus_jemlahicus",1.01,7957,"Epitheliochorial","Villous","Artiodactyla"
"heterocephalus_glaber",8.95,10329.5,"Hemochorial","Labyrinthine","Rodentia"
"heterohyrax_brucei",1.89,5110,"Hemochorial","Labyrinthine","Hyracoidea"
"hippopotamus_amphibius",1,22338,"Epitheliochorial","Villous","Artiodactyla"
"hippotragus_equinus",1,9453.5,"Epitheliochorial","Villous","Artiodactyla"
"hippotragus_niger",1,8121.25,"Epitheliochorial","Villous","Artiodactyla"
"hyaena_hyaena",2.5,9125,"Endotheliochorial","Labyrinthine","Carnivora"
"hydrictis_maculicollis",2,8358.5,"Endotheliochorial","Labyrinthine","Carnivora"
"hydrochoerus_hydrochaeris",3.49,5511.5,"Hemochorial","Labyrinthine","Rodentia"
"hydropotes_inermis",3,5079.58,"Epitheliochorial","Villous","Artiodactyla"
"hydrurga_leptonyx",0.98,9490,"Endotheliochorial","Labyrinthine","Carnivora"
"hylobates_agilis",1,20805,"Hemochorial","Villous","Primates"
"hylobates_lar",1,20805,"Hemochorial","Villous","Primates"
"hylobates_pileatus",1,20805,"Hemochorial","Villous","Primates"
"hystrix_africaeaustralis",2.1,8431.5,"Hemochorial","Labyrinthine","Rodentia"
"hystrix_cristata",2.3,10411.63,"Hemochorial","Labyrinthine","Rodentia"
"ictidomys_tridecemlineatus",8.09,2883.5,"Hemochorial","Labyrinthine","Rodentia"
"indri_indri",1.01,9231.94,"Epitheliochorial","Villous","Primates"
